a	c
aasvogel	'ɑ:sfougəl
aba	'ɑ:bə
abaci	'æbəkəs
aback	ə'bæk
abacus	'æbəkəs
abaddon	ə'bædən
abaft	ə'bɑ:ft
abalone	,æbə'louni
abandon	ə'bændən
abandoned	ə'bændənd
abandoner	ə'bændənə
abandonment	ə'bændənmənt
abase	ə'beis
abasement	ə'beismənt
abash	ə'bæʃ
abashment	ə'bæʃmənt
abask	ə'bɑ:sk
abatable	ə'beitəbl
abate	ə'beit
abatement	ə'beitmənt
abatis	'æbətis
abatised	'æbətist
abattoir	'æbətwɑ:
abb	æb
abbacy	'æbəsi
abbatial	ə'beiʃəl
abbess	'æbis
abbey	'æbi
abbot	'æbət
abbreviate	ə'bri:vieit
abbreviated	ə'bri:vietid
abbreviation	ə,bri:vi'eiʃn
abbreviator	ə'bri:vieitə
abdicant	'æbdikeitə
abdicate	'æbdikeit
abdication	,æbdi'keiʃn
abdicator	'æbdikeitə
abdomen	'æbdəmen
abdominal	æb'dɔminl
abdominous	æb'dɔminəs
abducent	æb'dju:sənt
abduct	æd'dʌkt
abduction	æb'dʌkʃn
abductor	æb'dʌktə
abeam	ə'bi:m
abecedarian	,eibi:si:'deəriən
abed	ə'bed
abele	ə'bi:l
abelmosk	'eibəlmɔsk
aberrance	æ'berəns
aberrancy	æ'berəns
aberrant	æ'berənt
aberration	æ'be'reiʃn
abet	ə'bet
abetment	ə'betmənt
abettal	ə'betmənt
abette	ə'betə
abettor	ə'betə
abeyance	ə'beiəns
abeyant	ə'beiənt
abhor	əb'hɔ:
abhorrence	əb'hɔrəns
abhorrent	əb'hɔrənt
abidance	ə'baidəns
abide	ə'baid
abiding	ə'baidiɳ
abietene	'æbiəti:n
abigail	'æbigeil
abilitate	ə'biliteit
ability	ə'biliti
abiogenesis	,eibaiou'dʤenisis
abiogenetic	,eibaioudʤi'netik
abiogenetically	,eibaioudʤi'netikəli
abiogenist	,eibai'ɔdʤinist
abiogenous	,eibai'ɔdʤiəns
abiogeny	,eibaiou'dʤenisis
abiological	,æbaiə'lɔdʤikəl
abiotic	,æbai'ɔtik
abject	'æbdʤekt
abjection	æb'dʤekʃn
abjectness	'æbdʤektnis
abjuration	,æbdʤuə'reiʃn
abjure	əb'dʤuə
ablactation	,æblæk'teiʃn
ablate	æb'leit
ablation	æb'leʃn
ablative	'æblətiv
ablaut	'æblaut
ablaze	ə'bleiz
able	'eibl
ablen	'æblin
ablet	'æblin
ablings	'eibliɳz
ablins	'eibliɳz
abloom	ə'blu:m
abluent	'æbluənt
ablush	ə'blʌʃ
ablution	ə'blu:ʃn
ably	'eibli
abnegate	'æbnigeit
abnegation	,æbni'geiʃn
abnormal	æb'nɔ:məl
abnormalcy	æb'nɔ:məlsi
abnormality	æb'nɔ:məlsi
abnormity	æb'nɔ:məlsi
aboard	ə'bɔ:d
abode	ə'boud
aboil	ə'bɔil
abolish	ə'bɔliʃ
abolishable	ə'bɔliʃəbl
abolisher	ə'bɔliʃə
abolishment	ə'bɔliʃmənt
abolition	,æbə'liʃn
abolitionise	,æbə'liʃənaiz
abolitionism	,æbə'liʃənizm
abolitionist	,æbə'liʃənist
abolitionize	,æbə'liʃənaiz
abominable	ə'bɔminəbl
abominableness	ə'bɔminəblnis
abominate	ə'bɔmineit
abomination	ə,bɔmi'neiʃn
aboriginal	,æbə'ridʤənl
aborigines	,æbə'ridʤini:z
abort	ə'bɔ:t
aborted	ə'bɔ:tid
aborticide	ə'bɔ:tisaid
abortifacient	ə'bɔ:ti'feiʃənt
abortion	ə'bɔ:ʃn
abortionist	ə'bɔ:ʃənist
abortive	ə'bɔ:tiv
abortiveness	ə'bɔ:tivnis
aboulia	ə'bauliə
abound	ə'baund
abounding	ə'baundiɳ
about	ə'baut
above	ə'bʌv
abracadabra	,æbrəkə'dæbrə
abradant	ə'breidənt
abrade	ə'breid
abranchial	ə'bræɳkiəl
abranchiate	ə'bræɳkiəl
abrasion	ə'breiʤn
abrasive	ə'breisiv
abreast	ə'brest
abridge	ə'bridʤ
abridgement	ə'bridʤmənt
abridgment	ə'bridʤmənt
abroach	ə'broutʃ
abroad	ə'brɔ:d
abrogate	'æbrougeit
abrogation	,æbrou'geiʃn
abrupt	ə'brʌpt
abruption	ə'brʌpʃn
abruptness	ə'brʌptnis
abscess	'æbsis
absciss	æb'sis
abscissa	æb'sisə
abscissae	æb'sisə
abscisse	æb'sis
abscission	æb'siʤn
abscond	əb'skɔnd
absconder	əb'skɔndə
absence	'æbsəns
absent	'æbsənt
absentee	,æbsən'ti:
absenteeism	,æbsən'ti:izm
absently	'æbsəntli
absinth	'æbsinθ
absinthe	'æbsinθ
absinthian	æb'sinθiən
absolute	'æbsəlu:t
absolutely	'æbsəlu:tli
absoluteness	'æbsəlu:tnis
absolution	,æbsə'lu:ʃn
absolutism	'æbsəlu:tizm
absolutist	'æbsəlu:tist
absolve	əb'zɔlv
absonant	'æbsənənt
absorb	əb'sɔ:b
absorbability	əb,sɔ:bə'biliti
absorbable	əb'sɔ:bəbl
